000001.SZ,平安銀行
000002.SZ,萬  科Ａ
000004.SZ,國農科技
000005.SZ,世紀星源
000006.SZ,深振業Ａ
000007.SZ,零七股份
000008.SZ,ST寶利來
000009.SZ,中國寶安
000010.SZ,S ST華新
000011.SZ,深物業A
000012.SZ,南  玻Ａ
000014.SZ,沙河股份
000016.SZ,深康佳Ａ
000017.SZ,*ST中華A
000018.SZ,ST中冠A
000019.SZ,深深寶Ａ
000020.SZ,深華發Ａ
000021.SZ,長城開發
000022.SZ,深赤灣Ａ
000023.SZ,深天地Ａ
000024.SZ,招商地產
000025.SZ,特  力Ａ
000026.SZ,飛亞達Ａ
000027.SZ,深圳能源
000028.SZ,國藥一致
000029.SZ,深深房Ａ
000030.SZ,*ST盛潤A
000031.SZ,中糧地產
000032.SZ,深桑達Ａ
000033.SZ,新都酒店
000034.SZ,深信泰豐
000035.SZ,*ST科健
000036.SZ,華聯控股
000037.SZ,深南電Ａ
000038.SZ,*ST大通
000039.SZ,中集集團
000040.SZ,寶安地產
000042.SZ,深 長 城
000043.SZ,中航地產
000045.SZ,深紡織Ａ
000046.SZ,泛海建設
000048.SZ,康達爾
000049.SZ,德賽電池
000050.SZ,深天馬Ａ
000055.SZ,方大集團
000056.SZ,*ST國商
000058.SZ,深 賽 格
000059.SZ,遼通化工
000060.SZ,中金嶺南
000061.SZ,農 產 品
000062.SZ,深圳華強
000063.SZ,中興通訊
000065.SZ,北方國際
000066.SZ,長城電腦
000068.SZ,ST華賽
000069.SZ,華僑城Ａ
000070.SZ,特發信息
000078.SZ,海王生物
000088.SZ,鹽 田 港
000089.SZ,深圳機場
000090.SZ,深 天 健
000096.SZ,廣聚能源
000099.SZ,中信海直
000100.SZ,TCL 集團
000150.SZ,宜華地產
000151.SZ,中成股份
000153.SZ,豐原藥業
000155.SZ,*ST川化
000156.SZ,華數傳媒
000157.SZ,中聯重科
000158.SZ,常山股份
000159.SZ,國際實業
000301.SZ,東方市場
000338.SZ,濰柴動力
000400.SZ,許繼電氣
000401.SZ,冀東水泥
000402.SZ,金 融 街
000403.SZ,*ST生化
000404.SZ,華意壓縮
000407.SZ,勝利股份
000408.SZ,金谷源
000409.SZ,ST泰復
000410.SZ,沈陽機床
000411.SZ,英特集團
000413.SZ,寶  石Ａ
000415.SZ,渤海租賃
000416.SZ,民生投資
000417.SZ,合肥百貨
000418.SZ,小天鵝Ａ
000419.SZ,通程控股
000420.SZ,*ST吉纖
000421.SZ,南京中北
000422.SZ,湖北宜化
000423.SZ,東阿阿膠
000425.SZ,徐工機械
000426.SZ,興業礦業
000428.SZ,華天酒店
000429.SZ,粵高速Ａ
000430.SZ,張家界
000488.SZ,晨鳴紙業
000498.SZ,*ST路橋
000501.SZ,鄂武商Ａ
000502.SZ,綠景控股
000503.SZ,海虹控股
000504.SZ,ST傳媒
000505.SZ,ST珠江
000506.SZ,中潤資源
000507.SZ,珠海港
000509.SZ,SST華塑
000510.SZ,金路集團
000511.SZ,銀基發展
000513.SZ,麗珠集團
000514.SZ,渝 開 發
000516.SZ,開元投資
000517.SZ,榮安地產
000518.SZ,四環生物
000519.SZ,江南紅箭
000520.SZ,長航鳳凰
000521.SZ,美菱電器
000522.SZ,白云山Ａ
000523.SZ,廣州浪奇
000524.SZ,東方賓館
000525.SZ,紅 太 陽
000526.SZ,銀潤投資
000527.SZ,美的電器
000528.SZ,柳    工
000529.SZ,廣弘控股
000530.SZ,大冷股份
000531.SZ,穗恒運Ａ
000532.SZ,力合股份
000533.SZ,萬 家 樂
000534.SZ,萬澤股份
000536.SZ,華映科技
000537.SZ,廣宇發展
000538.SZ,云南白藥
000539.SZ,粵電力Ａ
000540.SZ,中天城投
000541.SZ,佛山照明
000543.SZ,皖能電力
000544.SZ,中原環保
000546.SZ,光華控股
000547.SZ,閩福發Ａ
000548.SZ,湖南投資
000550.SZ,江鈴汽車
000551.SZ,創元科技
000552.SZ,靖遠煤電
000553.SZ,沙隆達Ａ
000554.SZ,泰山石油
000555.SZ,ST 太 光
000557.SZ,*ST廣夏
000558.SZ,萊茵置業
000559.SZ,萬向錢潮
000560.SZ,昆百大Ａ
000561.SZ,烽火電子
000562.SZ,宏源證券
000563.SZ,陜國投Ａ
000564.SZ,西安民生
000565.SZ,渝三峽Ａ
000566.SZ,海南海藥
000567.SZ,海德股份
000568.SZ,瀘州老窖
000570.SZ,蘇常柴Ａ
000571.SZ,新大洲Ａ
000572.SZ,海馬汽車
000573.SZ,粵宏遠Ａ
000576.SZ,*ST甘化
000581.SZ,威孚高科
000582.SZ,北 海 港
000584.SZ,友利控股
000585.SZ,*ST東電
000586.SZ,匯源通信
000587.SZ,金葉珠寶
000589.SZ,黔輪胎Ａ
000590.SZ,紫光古漢
000591.SZ,桐 君 閣
000592.SZ,中福實業
000593.SZ,大通燃氣
000594.SZ,國恒鐵路
000595.SZ,*ST西軸
000596.SZ,古井貢酒
000597.SZ,東北制藥
000598.SZ,興蓉投資
000599.SZ,青島雙星
000600.SZ,建投能源
000601.SZ,韶能股份
000602.SZ,金馬集團
000603.SZ,盛達礦業
000605.SZ,四環藥業
000606.SZ,青海明膠
000607.SZ,華智控股
000608.SZ,陽光股份
000609.SZ,綿世股份
000610.SZ,西安旅游
000611.SZ,四海股份
000612.SZ,焦作萬方
000613.SZ,ST東海Ａ
000615.SZ,湖北金環
000616.SZ,億城股份
000617.SZ,石油濟柴
000619.SZ,海螺型材
000620.SZ,新華聯
000622.SZ,*ST恒立
000623.SZ,吉林敖東
000625.SZ,長安汽車
000626.SZ,如意集團
000627.SZ,天茂集團
000628.SZ,高新發展
000629.SZ,攀鋼釩鈦
000630.SZ,銅陵有色
000631.SZ,順發恒業
000632.SZ,三木集團
000633.SZ,ST合金
000635.SZ,英 力 特
000636.SZ,風華高科
000637.SZ,茂化實華
000638.SZ,萬方地產
000639.SZ,西王食品
000650.SZ,仁和藥業
