000000.SH,091739  
000001.SH,上證指數
000002.SH,Ａ股指數
000003.SH,Ｂ股指數
000004.SH,工業指數
000005.SH,商業指數
000006.SH,地產指數
000007.SH,公用指數
000008.SH,綜合指數
000009.SH,上證380 
000010.SH,上證180 
000011.SH,基金指數
000012.SH,國債指數
000013.SH,企債指數
000015.SH,紅利指數
000016.SH,上證50  
000017.SH,新綜指  
000018.SH,180金融 
000019.SH,治理指數
000020.SH,中型綜指
000021.SH,180治理 
000022.SH,滬公司債
000023.SH,滬分離債
000025.SH,180基建 
000026.SH,180資源 
000027.SH,180運輸 
000028.SH,180成長 
000029.SH,180價值 
000030.SH,180R成長
000031.SH,180R價值
000032.SH,上證能源
000033.SH,上證材料
000034.SH,上證工業
000035.SH,上證可選
000036.SH,上證消費
000037.SH,上證醫藥
000038.SH,上證金融
000039.SH,上證信息
000040.SH,上證電信
000041.SH,上證公用
000042.SH,上證央企
000043.SH,超大盤  
000044.SH,上證中盤
000045.SH,上證小盤
000046.SH,上證中小
000047.SH,上證全指
000048.SH,責任指數
000049.SH,上證民企
000050.SH,50等權  
000051.SH,180等權 
000052.SH,50基本  
000053.SH,180基本 
000054.SH,上證海外
000055.SH,上證地企
000056.SH,上證國企
000057.SH,全指成長
000058.SH,全指價值
000059.SH,全R成長 
000060.SH,全R價值 
000061.SH,滬企債30
000062.SH,上證滬企
000063.SH,上證周期
000064.SH,非周期  
000065.SH,上證龍頭
000066.SH,上證商品
000067.SH,上證新興
000068.SH,上證資源
000069.SH,消費80  
000070.SH,能源等權
000071.SH,材料等權
000072.SH,工業等權
000073.SH,可選等權
000074.SH,消費等權
000075.SH,醫藥等權
000076.SH,金融等權
000077.SH,信息等權
000078.SH,電信等權
000079.SH,公用等權
000090.SH,上證流通
000091.SH,滬財中小
000092.SH,資源50  
000093.SH,180分層 
000094.SH,上證上遊
000095.SH,上證中遊
000096.SH,上證下遊
000097.SH,高端裝備
000098.SH,上證F200
000099.SH,上證F300
000100.SH,上證F500
000102.SH,滬投資品
000103.SH,滬消費品
000104.SH,380能源 
000105.SH,380材料 
000106.SH,380工業 
000107.SH,380可選 
000108.SH,380消費 
000109.SH,380醫藥 
000110.SH,380金融 
000111.SH,380信息 
000112.SH,380電信 
000113.SH,380公用 
000114.SH,持續產業
